Sweep,Mag,E/JN,Beta,Temp
0,-1,2,0.2,5
1,-0.65375,1,0.2,5
2,-0.40625,0.6225,0.2,5
3,-0.255,0.5225,0.2,5
4,-0.20625,0.4875,0.2,5
5,-0.165,0.5075,0.2,5
6,-0.115,0.4775,0.2,5
7,-0.03375,0.3925,0.2,5
8,-0.01625,0.4475,0.2,5
9,-0.055,0.435,0.2,5
10,-0.07875,0.445,0.2,5
11,-0.025,0.4125,0.2,5
12,-0.01,0.3725,0.2,5
13,-0.03625,0.485,0.2,5
14,-0.05625,0.425,0.2,5
15,-0.04,0.4,0.2,5
16,-0.00375,0.425,0.2,5
17,-0.02,0.3525,0.2,5
18,-0.0125,0.445,0.2,5
19,0.015,0.435,0.2,5
20,-0.045,0.405,0.2,5
21,-0.0325,0.3725,0.2,5
22,-0.03,0.4175,0.2,5
23,-0.055,0.4225,0.2,5
24,0.03625,0.43,0.2,5
25,0.04375,0.435,0.2,5
26,0.0875,0.3975,0.2,5
27,0.03375,0.4325,0.2,5
28,-0.005,0.4825,0.2,5
29,-0.005,0.3675,0.2,5
30,0.05375,0.4225,0.2,5
31,0.075,0.44,0.2,5
32,0.0725,0.4025,0.2,5
33,0.02375,0.4225,0.2,5
34,-0.015,0.3975,0.2,5
35,-0.01625,0.4,0.2,5
36,-0.0325,0.445,0.2,5
37,-0.05,0.47,0.2,5
38,-0.105,0.4575,0.2,5
39,-0.09625,0.4325,0.2,5
40,-0.03125,0.435,0.2,5
41,-0.0125,0.485,0.2,5
42,0.0325,0.4325,0.2,5
43,0.015,0.44,0.2,5
44,-0.06375,0.4775,0.2,5
45,-0.05625,0.415,0.2,5
46,0.01,0.3725,0.2,5
47,0.075,0.4075,0.2,5
48,0.03875,0.3725,0.2,5
49,0.01375,0.4825,0.2,5
50,0.03375,0.405,0.2,5
51,0.0375,0.395,0.2,5
52,0.08125,0.3775,0.2,5
53,0.00625,0.4025,0.2,5
54,0.03375,0.45,0.2,5
55,0.095,0.4475,0.2,5
56,0.0375,0.445,0.2,5
57,0.015,0.4225,0.2,5
58,0.0625,0.4375,0.2,5
59,-0.00875,0.44,0.2,5
60,-0.0025,0.395,0.2,5
61,-0.01375,0.45,0.2,5
62,0.03,0.455,0.2,5
63,-0.0275,0.45,0.2,5
64,0.04625,0.485,0.2,5
65,0.01375,0.405,0.2,5
66,0.0625,0.495,0.2,5
67,0.0325,0.4375,0.2,5
68,0.0375,0.4275,0.2,5
69,0.02875,0.385,0.2,5
70,-0.00125,0.4,0.2,5
71,0.01375,0.3775,0.2,5
72,0.0175,0.3975,0.2,5
73,0.03875,0.4025,0.2,5
74,0.07125,0.4425,0.2,5
75,0.0175,0.4075,0.2,5
76,-0.03125,0.48,0.2,5
77,-0.0425,0.415,0.2,5
78,-0.01375,0.3575,0.2,5
79,0.05125,0.4,0.2,5
80,-0.02,0.4875,0.2,5
81,-0.01875,0.405,0.2,5
82,0,0.475,0.2,5
83,-0.0425,0.385,0.2,5
84,0.01625,0.3425,0.2,5
85,-0.0075,0.4025,0.2,5
86,-0.0275,0.4325,0.2,5
87,0.04625,0.3925,0.2,5
88,0.065,0.475,0.2,5
89,0.08,0.465,0.2,5
90,0.08875,0.3975,0.2,5
91,0.04875,0.4975,0.2,5
92,-0.0125,0.405,0.2,5
93,-0.035,0.4,0.2,5
94,0.02875,0.415,0.2,5
95,0.0275,0.4825,0.2,5
96,0.0525,0.47,0.2,5
97,0.045,0.44,0.2,5
98,0.0725,0.505,0.2,5
99,0.045,0.495,0.2,5
100,0.11,0.46,0.2,5
0,-1,2,0.2,5
1,-0.6175,0.965,0.2,5
2,-0.39625,0.7,0.2,5
3,-0.225,0.4925,0.2,5
4,-0.17125,0.5075,0.2,5
5,-0.075,0.4175,0.2,5
6,-0.12,0.465,0.2,5
7,-0.0475,0.4375,0.2,5
8,-0.0325,0.44,0.2,5
9,-0.01375,0.4425,0.2,5
10,-0.00375,0.4025,0.2,5
11,0.0125,0.375,0.2,5
12,0.03375,0.35,0.2,5
13,-0.005,0.385,0.2,5
14,-0.00625,0.3625,0.2,5
15,-0.02,0.375,0.2,5
16,0.00875,0.4275,0.2,5
17,0.01875,0.375,0.2,5
18,0.03,0.4075,0.2,5
19,0.035,0.4425,0.2,5
20,0.005,0.4425,0.2,5
21,-0.09,0.4475,0.2,5
22,-0.06625,0.475,0.2,5
23,-0.0875,0.42,0.2,5
24,-0.01375,0.3825,0.2,5
25,0.0775,0.395,0.2,5
26,0.0525,0.4175,0.2,5
27,0.00375,0.435,0.2,5
28,-0.01875,0.44,0.2,5
29,-0.00875,0.4425,0.2,5
30,-0.03375,0.45,0.2,5
31,-0.02,0.4725,0.2,5
32,-0.02625,0.38,0.2,5
33,-0.02875,0.4775,0.2,5
34,0.065,0.4675,0.2,5
35,0.0025,0.4425,0.2,5
36,-0.02375,0.495,0.2,5
37,-0.01375,0.4475,0.2,5
38,-0.05375,0.5075,0.2,5
39,-0.08875,0.4375,0.2,5
40,-0.03875,0.4575,0.2,5
41,0.01,0.515,0.2,5
42,-0.005,0.405,0.2,5
43,0.02375,0.4325,0.2,5
44,0.00875,0.4175,0.2,5
45,-0.055,0.4675,0.2,5
46,-0.0025,0.4325,0.2,5
47,-0.0125,0.4375,0.2,5
48,0.03125,0.4375,0.2,5
49,0.04125,0.425,0.2,5
50,0.07125,0.3625,0.2,5
51,0.01625,0.425,0.2,5
52,0.01625,0.4875,0.2,5
53,-0.00625,0.42,0.2,5
54,-0.06375,0.44,0.2,5
55,-0.1175,0.485,0.2,5
56,-0.0975,0.46,0.2,5
57,-0.055,0.36,0.2,5
58,-0.05625,0.425,0.2,5
59,-0.06625,0.405,0.2,5
60,-0.065,0.3775,0.2,5
61,-0.07875,0.4025,0.2,5
62,0.05125,0.4125,0.2,5
63,0.005,0.4375,0.2,5
64,0.01125,0.42,0.2,5
65,0.0325,0.3625,0.2,5
66,-0.0225,0.4525,0.2,5
67,-0.0225,0.4425,0.2,5
68,-0.0075,0.4375,0.2,5
69,-0.045,0.3875,0.2,5
70,-0.07625,0.4675,0.2,5
71,-0.05375,0.485,0.2,5
72,-0.02,0.4675,0.2,5
73,-0.0125,0.3875,0.2,5
74,-0.0075,0.4275,0.2,5
75,-0.03,0.3875,0.2,5
76,0.0475,0.445,0.2,5
77,-0.01375,0.4275,0.2,5
78,0.05,0.38,0.2,5
79,0.04375,0.45,0.2,5
80,-0.00125,0.4,0.2,5
81,-0.01375,0.455,0.2,5
82,-0.00125,0.4525,0.2,5
83,0.00625,0.4675,0.2,5
84,0.01875,0.425,0.2,5
85,-0.045,0.3725,0.2,5
86,-0.045,0.3275,0.2,5
87,-0.01125,0.3425,0.2,5
88,0.01875,0.3675,0.2,5
89,-0.00125,0.445,0.2,5
90,-0.03,0.5175,0.2,5
91,0.015,0.4775,0.2,5
92,0.0575,0.4125,0.2,5
93,0.025,0.4825,0.2,5
94,0.0225,0.4175,0.2,5
95,0.00125,0.44,0.2,5
96,-0.01625,0.465,0.2,5
97,-0.0175,0.445,0.2,5
98,0.01125,0.5,0.2,5
99,-0.06875,0.4975,0.2,5
100,-0.01375,0.4375,0.2,5
0,-1,2,0.2,5
1,-0.66625,1.0725,0.2,5
2,-0.3675,0.585,0.2,5
3,-0.27,0.48,0.2,5
4,-0.1575,0.445,0.2,5
5,-0.06625,0.475,0.2,5
6,-0.06,0.49,0.2,5
7,-0.05625,0.49,0.2,5
8,-0.04125,0.4775,0.2,5
9,0.02375,0.4125,0.2,5
10,0.03125,0.4375,0.2,5
11,0.01375,0.415,0.2,5
12,-0.02,0.4475,0.2,5
13,-0.03,0.4125,0.2,5
14,-0.01875,0.45,0.2,5
15,-0.0025,0.375,0.2,5
16,-0.0175,0.4225,0.2,5
17,-0.0125,0.395,0.2,5
18,0.025,0.4,0.2,5
19,0.02,0.3725,0.2,5
20,-0.04375,0.4375,0.2,5
21,0.03125,0.445,0.2,5
22,0.00375,0.435,0.2,5
23,0.01875,0.4675,0.2,5
24,-0.035,0.4425,0.2,5
25,-0.0075,0.405,0.2,5
26,-0.0325,0.395,0.2,5
27,-0.01,0.39,0.2,5
28,-0.005,0.4025,0.2,5
29,-0.01125,0.405,0.2,5
30,-0.01875,0.445,0.2,5
31,-0.01625,0.525,0.2,5
32,-0.035,0.5175,0.2,5
33,-0.02,0.4275,0.2,5
34,-0.025,0.3825,0.2,5
35,0.015,0.3775,0.2,5
36,-0.015,0.465,0.2,5
37,-0.02,0.475,0.2,5
38,0.02625,0.435,0.2,5
39,0.07625,0.5125,0.2,5
40,0.08375,0.395,0.2,5
41,0.04125,0.36,0.2,5
42,-0.02625,0.4425,0.2,5
43,-0.06125,0.4225,0.2,5
44,0.04625,0.41,0.2,5
45,0.03,0.4725,0.2,5
46,-0.02,0.43,0.2,5
47,-0.02,0.4125,0.2,5
48,-0.035,0.405,0.2,5
49,-0.04,0.42,0.2,5
50,-0.03625,0.4525,0.2,5
51,0.01125,0.415,0.2,5
52,-0.03,0.3975,0.2,5
53,-0.055,0.44,0.2,5
54,0.00125,0.45,0.2,5
55,-0.01625,0.3525,0.2,5
56,0.01,0.345,0.2,5
57,-0.04125,0.415,0.2,5
58,-0.02375,0.3875,0.2,5
59,-0.07875,0.4525,0.2,5
60,-0.02125,0.4175,0.2,5
61,-0.01375,0.4125,0.2,5
62,-0.03,0.41,0.2,5
63,-0.0175,0.3625,0.2,5
64,-0.04875,0.3575,0.2,5
65,-0.025,0.3725,0.2,5
66,0.00125,0.4025,0.2,5
67,0.06,0.3975,0.2,5
68,0.0225,0.4475,0.2,5
69,0.02625,0.3975,0.2,5
70,0.06,0.4325,0.2,5
71,0.03125,0.3775,0.2,5
72,-0.02875,0.41,0.2,5
73,-0.04625,0.4425,0.2,5
74,-0.0225,0.4325,0.2,5
75,-0.0025,0.4525,0.2,5
76,0.0775,0.385,0.2,5
77,0.0425,0.4325,0.2,5
78,0.04125,0.4425,0.2,5
79,0.09125,0.42,0.2,5
80,0.0875,0.37,0.2,5
81,0.085,0.485,0.2,5
82,0.01375,0.4425,0.2,5
83,-0.00125,0.4825,0.2,5
84,-0.03,0.385,0.2,5
85,0.0425,0.465,0.2,5
86,0.00125,0.415,0.2,5
87,0.0175,0.39,0.2,5
88,0.045,0.425,0.2,5
89,0.0075,0.4075,0.2,5
90,-0.00875,0.43,0.2,5
91,0.01375,0.455,0.2,5
92,-0.03625,0.4275,0.2,5
93,-0.0225,0.43,0.2,5
94,-0.045,0.4125,0.2,5
95,0.00625,0.39,0.2,5
96,-0.00625,0.41,0.2,5
97,-0.00375,0.405,0.2,5
98,0.02875,0.5025,0.2,5
99,-0.0225,0.415,0.2,5
100,-0.07375,0.4,0.2,5
0,-1,2,0.2,5
1,-0.65375,1.01,0.2,5
2,-0.43125,0.6425,0.2,5
3,-0.2025,0.5025,0.2,5
4,-0.13625,0.44,0.2,5
5,-0.0825,0.44,0.2,5
6,-0.03125,0.405,0.2,5
7,-0.03,0.465,0.2,5
8,-0.035,0.4,0.2,5
9,-0.035,0.4175,0.2,5
10,-0.0825,0.445,0.2,5
11,-0.0725,0.4875,0.2,5
12,-0.0425,0.52,0.2,5
13,-0.0475,0.4725,0.2,5
14,-0.03,0.4375,0.2,5
15,-0.075,0.405,0.2,5
16,-0.1075,0.4325,0.2,5
17,-0.11375,0.43,0.2,5
18,-0.0875,0.435,0.2,5
19,-0.055,0.4725,0.2,5
20,-0.00625,0.405,0.2,5
21,-0.06625,0.4625,0.2,5
22,-0.00375,0.39,0.2,5
23,-0.0225,0.3725,0.2,5
24,0.03,0.455,0.2,5
25,0.03,0.44,0.2,5
26,0.0575,0.4925,0.2,5
27,0.03375,0.3925,0.2,5
28,-0.06125,0.4225,0.2,5
29,-0.07625,0.3575,0.2,5
30,-0.035,0.465,0.2,5
31,-0.0375,0.3625,0.2,5
32,-0.02,0.38,0.2,5
33,-0.04375,0.465,0.2,5
34,-0.0125,0.3925,0.2,5
35,0.03125,0.47,0.2,5
36,0.02,0.4075,0.2,5
37,0,0.49,0.2,5
38,0.035,0.4275,0.2,5
39,0.02,0.415,0.2,5
40,-0.00125,0.465,0.2,5
41,0.06375,0.4175,0.2,5
42,0.045,0.445,0.2,5
43,0.0575,0.4425,0.2,5
44,0.0425,0.43,0.2,5
45,0.04,0.425,0.2,5
46,-0.0125,0.4175,0.2,5
47,0.0425,0.4075,0.2,5
48,0.05,0.4225,0.2,5
49,0.03,0.44,0.2,5
50,0.0325,0.405,0.2,5
51,0.025,0.3975,0.2,5
52,0.0125,0.355,0.2,5
53,0.0525,0.4375,0.2,5
54,0.06875,0.4775,0.2,5
55,0.07,0.38,0.2,5
56,0.0175,0.36,0.2,5
57,0.005,0.4525,0.2,5
58,-0.0025,0.43,0.2,5
59,0.01,0.4325,0.2,5
60,-0.015,0.45,0.2,5
61,-0.0525,0.4525,0.2,5
62,-0.01625,0.4475,0.2,5
63,-0.00875,0.4225,0.2,5
64,-0.01,0.3725,0.2,5
65,0.015,0.4425,0.2,5
66,0.0075,0.4275,0.2,5
67,-0.0125,0.45,0.2,5
68,0.0175,0.4675,0.2,5
69,-0.02,0.4525,0.2,5
70,0.03,0.42,0.2,5
71,0.04625,0.4425,0.2,5
72,-0.03875,0.38,0.2,5
73,-0.04,0.4075,0.2,5
74,-0.075,0.4225,0.2,5
75,-0.0725,0.37,0.2,5
76,-0.04125,0.3625,0.2,5
77,-0.0675,0.4275,0.2,5
78,0.00625,0.375,0.2,5
79,0.05625,0.45,0.2,5
80,0.035,0.46,0.2,5
81,-0.0075,0.4275,0.2,5
82,0.00375,0.4125,0.2,5
83,-0.02625,0.415,0.2,5
84,-0.04375,0.3775,0.2,5
85,-0.0475,0.365,0.2,5
86,-0.11375,0.4275,0.2,5
87,-0.08875,0.41,0.2,5
88,-0.10375,0.4025,0.2,5
89,-0.0825,0.4225,0.2,5
90,-0.0525,0.4075,0.2,5
91,0.0025,0.365,0.2,5
92,0.035,0.455,0.2,5
93,0.04125,0.39,0.2,5
94,0.04,0.4125,0.2,5
95,0.02375,0.4375,0.2,5
96,0.0125,0.4125,0.2,5
97,-0.03125,0.48,0.2,5
98,0.01875,0.425,0.2,5
99,-0.0225,0.3925,0.2,5
100,-0.00375,0.455,0.2,5
0,-1,2,0.2,5
1,-0.66125,1.03,0.2,5
2,-0.39625,0.625,0.2,5
3,-0.24875,0.54,0.2,5
4,-0.09625,0.48,0.2,5
5,-0.105,0.465,0.2,5
6,-0.035,0.42,0.2,5
7,-0.0725,0.4725,0.2,5
8,-0.075,0.405,0.2,5
9,-0.00125,0.4425,0.2,5
10,0.02,0.385,0.2,5
11,0.00125,0.4725,0.2,5
12,0.035,0.4075,0.2,5
13,0.04875,0.48,0.2,5
14,0.045,0.47,0.2,5
15,-0.02125,0.4975,0.2,5
16,0.045,0.4625,0.2,5
