Temp,t/tc,x,y,D,G
2.19247,0.966193,1,0,1,0.429606
2.19247,0.966193,1,1,1.41421,0.428616
2.19247,0.966193,2,0,2,0.429469
2.19247,0.966193,2,1,2.23607,0.428187
2.19247,0.966193,2,2,2.82843,0.427553
2.19247,0.966193,3,0,3,0.427272
2.19247,0.966193,3,1,3.16228,0.42823
2.19247,0.966193,3,2,3.60555,0.428812
2.19247,0.966193,3,3,4.24264,0.427553
2.19247,0.966193,4,0,4,0.429491
2.19247,0.966193,4,1,4.12311,0.428372
2.19247,0.966193,4,2,4.47214,0.428631
2.19247,0.966193,4,3,5,0.428008
2.19247,0.966193,4,4,5.65685,0.4282
2.19247,0.966193,5,0,5,0.428884
2.19247,0.966193,5,1,5.09902,0.430591
2.19247,0.966193,5,2,5.38516,0.428447
2.19247,0.966193,5,3,5.83095,0.428322
2.19247,0.966193,5,4,6.40312,0.428981
2.19247,0.966193,5,5,7.07107,0.428719
2.19247,0.966193,6,0,6,0.428759
2.19247,0.966193,6,1,6.08276,0.429116
2.19247,0.966193,6,2,6.32456,0.429264
2.19247,0.966193,6,3,6.7082,0.428272
2.19247,0.966193,6,4,7.2111,0.429333
2.19247,0.966193,6,5,7.81025,0.42955
2.19247,0.966193,6,6,8.48528,0.428031
2.19247,0.966193,7,0,7,0.42785
2.19247,0.966193,7,1,7.07107,0.428431
2.19247,0.966193,7,2,7.28011,0.430312
2.19247,0.966193,7,3,7.61577,0.429023
2.19247,0.966193,7,4,8.06226,0.427887
2.19247,0.966193,7,5,8.60233,0.429303
2.19247,0.966193,7,6,9.21954,0.428484
2.19247,0.966193,7,7,9.89949,0.428303
2.19247,0.966193,8,0,8,0.427259
2.19247,0.966193,8,1,8.06226,0.428534
2.19247,0.966193,8,2,8.24621,0.428811
2.19247,0.966193,8,3,8.544,0.429367
2.19247,0.966193,8,4,8.94427,0.428639
2.19247,0.966193,8,5,9.43398,0.429416
2.19247,0.966193,8,6,10,0.427558
2.19247,0.966193,8,7,10.6301,0.429031
2.19247,0.966193,8,8,11.3137,0.4294
2.19247,0.966193,9,0,9,0.429975
2.19247,0.966193,9,1,9.05539,0.428444
2.19247,0.966193,9,2,9.21954,0.428916
2.19247,0.966193,9,3,9.48683,0.42902
2.19247,0.966193,9,4,9.84886,0.429473
2.19247,0.966193,9,5,10.2956,0.428214
2.19247,0.966193,9,6,10.8167,0.428014
2.19247,0.966193,9,7,11.4018,0.428591
2.19247,0.966193,9,8,12.0416,0.428231
2.19247,0.966193,9,9,12.7279,0.426969
2.19247,0.966193,10,0,10,0.429847
2.19247,0.966193,10,1,10.0499,0.428183
2.19247,0.966193,10,2,10.198,0.429202
2.19247,0.966193,10,3,10.4403,0.428055
2.19247,0.966193,10,4,10.7703,0.428745
2.19247,0.966193,10,5,11.1803,0.428258
2.19247,0.966193,10,6,11.6619,0.429353
2.19247,0.966193,10,7,12.2066,0.429209
2.19247,0.966193,10,8,12.8062,0.428539
2.19247,0.966193,10,9,13.4536,0.428256
2.19247,0.966193,10,10,14.1421,0.428831
1.09897,0.484301,1,0,1,0.509156
1.09897,0.484301,1,1,1.41421,0.509234
1.09897,0.484301,2,0,2,0.509309
1.09897,0.484301,2,1,2.23607,0.509275
1.09897,0.484301,2,2,2.82843,0.509256
1.09897,0.484301,3,0,3,0.509244
1.09897,0.484301,3,1,3.16228,0.509164
1.09897,0.484301,3,2,3.60555,0.509106
1.09897,0.484301,3,3,4.24264,0.509444
1.09897,0.484301,4,0,4,0.509231
1.09897,0.484301,4,1,4.12311,0.509223
1.09897,0.484301,4,2,4.47214,0.509308
1.09897,0.484301,4,3,5,0.509259
1.09897,0.484301,4,4,5.65685,0.509234
1.09897,0.484301,5,0,5,0.509281
1.09897,0.484301,5,1,5.09902,0.509239
1.09897,0.484301,5,2,5.38516,0.509195
1.09897,0.484301,5,3,5.83095,0.509216
1.09897,0.484301,5,4,6.40312,0.509292
1.09897,0.484301,5,5,7.07107,0.509303
1.09897,0.484301,6,0,6,0.509341
1.09897,0.484301,6,1,6.08276,0.50928
1.09897,0.484301,6,2,6.32456,0.509213
1.09897,0.484301,6,3,6.7082,0.509106
1.09897,0.484301,6,4,7.2111,0.509173
1.09897,0.484301,6,5,7.81025,0.509219
1.09897,0.484301,6,6,8.48528,0.509278
1.09897,0.484301,7,0,7,0.509313
1.09897,0.484301,7,1,7.07107,0.509228
1.09897,0.484301,7,2,7.28011,0.509228
1.09897,0.484301,7,3,7.61577,0.509109
1.09897,0.484301,7,4,8.06226,0.509244
1.09897,0.484301,7,5,8.60233,0.509202
1.09897,0.484301,7,6,9.21954,0.509291
1.09897,0.484301,7,7,9.89949,0.509166
1.09897,0.484301,8,0,8,0.50915
1.09897,0.484301,8,1,8.06226,0.50922
1.09897,0.484301,8,2,8.24621,0.509264
1.09897,0.484301,8,3,8.544,0.509244
1.09897,0.484301,8,4,8.94427,0.509238
1.09897,0.484301,8,5,9.43398,0.509131
1.09897,0.484301,8,6,10,0.509216
1.09897,0.484301,8,7,10.6301,0.509275
1.09897,0.484301,8,8,11.3137,0.509381
1.09897,0.484301,9,0,9,0.509231
1.09897,0.484301,9,1,9.05539,0.50923
1.09897,0.484301,9,2,9.21954,0.509245
1.09897,0.484301,9,3,9.48683,0.509278
1.09897,0.484301,9,4,9.84886,0.509188
1.09897,0.484301,9,5,10.2956,0.509222
1.09897,0.484301,9,6,10.8167,0.509298
1.09897,0.484301,9,7,11.4018,0.509258
1.09897,0.484301,9,8,12.0416,0.50922
1.09897,0.484301,9,9,12.7279,0.509094
1.09897,0.484301,10,0,10,0.509359
1.09897,0.484301,10,1,10.0499,0.509308
1.09897,0.484301,10,2,10.198,0.509305
1.09897,0.484301,10,3,10.4403,0.509128
1.09897,0.484301,10,4,10.7703,0.509289
1.09897,0.484301,10,5,11.1803,0.509139
1.09897,0.484301,10,6,11.6619,0.509292
1.09897,0.484301,10,7,12.2066,0.509231
1.09897,0.484301,10,8,12.8062,0.509266
1.09897,0.484301,10,9,13.4536,0.509216
1.09897,0.484301,10,10,14.1421,0.509191
0.733256,0.323136,1,0,1,0.509988
0.733256,0.323136,1,1,1.41421,0.509963
0.733256,0.323136,2,0,2,0.509981
0.733256,0.323136,2,1,2.23607,0.509989
0.733256,0.323136,2,2,2.82843,0.509972
0.733256,0.323136,3,0,3,0.509984
0.733256,0.323136,3,1,3.16228,0.509984
0.733256,0.323136,3,2,3.60555,0.509978
0.733256,0.323136,3,3,4.24264,0.509984
0.733256,0.323136,4,0,4,0.509966
0.733256,0.323136,4,1,4.12311,0.509988
0.733256,0.323136,4,2,4.47214,0.509986
0.733256,0.323136,4,3,5,0.509959
0.733256,0.323136,4,4,5.65685,0.509991
0.733256,0.323136,5,0,5,0.509988
0.733256,0.323136,5,1,5.09902,0.509972
0.733256,0.323136,5,2,5.38516,0.509978
0.733256,0.323136,5,3,5.83095,0.509981
0.733256,0.323136,5,4,6.40312,0.509992
0.733256,0.323136,5,5,7.07107,0.509991
0.733256,0.323136,6,0,6,0.509988
0.733256,0.323136,6,1,6.08276,0.50998
0.733256,0.323136,6,2,6.32456,0.509977
0.733256,0.323136,6,3,6.7082,0.509969
0.733256,0.323136,6,4,7.2111,0.509978
0.733256,0.323136,6,5,7.81025,0.509989
0.733256,0.323136,6,6,8.48528,0.509988
0.733256,0.323136,7,0,7,0.509978
0.733256,0.323136,7,1,7.07107,0.509975
0.733256,0.323136,7,2,7.28011,0.509991
0.733256,0.323136,7,3,7.61577,0.509977
0.733256,0.323136,7,4,8.06226,0.509992
0.733256,0.323136,7,5,8.60233,0.509972
0.733256,0.323136,7,6,9.21954,0.509984
0.733256,0.323136,7,7,9.89949,0.509975
0.733256,0.323136,8,0,8,0.509966
0.733256,0.323136,8,1,8.06226,0.509989
0.733256,0.323136,8,2,8.24621,0.509972
0.733256,0.323136,8,3,8.544,0.509981
0.733256,0.323136,8,4,8.94427,0.509977
0.733256,0.323136,8,5,9.43398,0.509981
0.733256,0.323136,8,6,10,0.509969
0.733256,0.323136,8,7,10.6301,0.509988
0.733256,0.323136,8,8,11.3137,0.509984
0.733256,0.323136,9,0,9,0.509981
0.733256,0.323136,9,1,9.05539,0.509981
0.733256,0.323136,9,2,9.21954,0.509986
0.733256,0.323136,9,3,9.48683,0.509991
0.733256,0.323136,9,4,9.84886,0.509986
0.733256,0.323136,9,5,10.2956,0.509986
0.733256,0.323136,9,6,10.8167,0.50998
0.733256,0.323136,9,7,11.4018,0.509984
0.733256,0.323136,9,8,12.0416,0.509977
0.733256,0.323136,9,9,12.7279,0.509981
0.733256,0.323136,10,0,10,0.509997
0.733256,0.323136,10,1,10.0499,0.509973
0.733256,0.323136,10,2,10.198,0.509994
0.733256,0.323136,10,3,10.4403,0.509991
0.733256,0.323136,10,4,10.7703,0.509992
0.733256,0.323136,10,5,11.1803,0.509966
0.733256,0.323136,10,6,11.6619,0.509978
0.733256,0.323136,10,7,12.2066,0.509973
0.733256,0.323136,10,8,12.8062,0.50997
0.733256,0.323136,10,9,13.4536,0.509964
0.733256,0.323136,10,10,14.1421,0.509984
0.550171,0.242453,1,0,1,0.51
0.550171,0.242453,1,1,1.41421,0.51
0.550171,0.242453,2,0,2,0.509997
0.550171,0.242453,2,1,2.23607,0.51
0.550171,0.242453,2,2,2.82843,0.51
0.550171,0.242453,3,0,3,0.51
0.550171,0.242453,3,1,3.16228,0.51
0.550171,0.242453,3,2,3.60555,0.51
0.550171,0.242453,3,3,4.24264,0.51
0.550171,0.242453,4,0,4,0.51
0.550171,0.242453,4,1,4.12311,0.509998
0.550171,0.242453,4,2,4.47214,0.51
0.550171,0.242453,4,3,5,0.509997
0.550171,0.242453,4,4,5.65685,0.51
0.550171,0.242453,5,0,5,0.51
0.550171,0.242453,5,1,5.09902,0.51
0.550171,0.242453,5,2,5.38516,0.509997
0.550171,0.242453,5,3,5.83095,0.51
0.550171,0.242453,5,4,6.40312,0.509997
0.550171,0.242453,5,5,7.07107,0.51
0.550171,0.242453,6,0,6,0.51
