Sweep,0.2m,0.2e,0.25m,0.25e,0.3m,0.3e,0.35m,0.35e,0.4m,0.4e,0.45m,0.45e,0.5m,0.5e,0.6m,0.6e,0.7m,0.7e
0,-1,-4,-1,-4,-1,-4,-1,-4,-1,-4,-1,-4,-1,-4,-1,-4,-1,-2
1,-0.651775,-2.0271,-0.7551,-2.5405,-0.835475,-2.9611,-0.89685,-3.3159,-0.93505,-3.5484,-0.9561,-3.6909,-0.972675,-3.8022,-0.987475,-3.9059,-0.9951,-1.98115
2,-0.41265,-1.3127,-0.569475,-1.864,-0.712575,-2.4371,-0.819025,-2.9325,-0.88545,-3.2737,-0.92745,-3.5168,-0.954125,-3.6882,-0.98155,-3.8645,-0.992525,-1.97185
3,-0.249675,-1.0125,-0.42975,-1.5142,-0.601375,-2.0861,-0.7528,-2.6785,-0.849925,-3.113,-0.9065,-3.4133,-0.942825,-3.6216,-0.977375,-3.8393,-0.991,-1.9658
4,-0.154175,-0.8901,-0.32795,-1.3516,-0.519675,-1.8911,-0.699625,-2.4977,-0.817875,-2.9914,-0.8887,-3.329,-0.9357,-3.5805,-0.9765,-3.8349,-0.99025,-1.96415
5,-0.1015,-0.8834,-0.242775,-1.231,-0.449525,-1.7575,-0.651975,-2.3746,-0.79585,-2.9192,-0.8765,-3.2877,-0.93055,-3.5573,-0.975325,-3.8255,-0.990275,-1.9638
6,-0.06385,-0.8839,-0.1802,-1.1851,-0.39505,-1.6693,-0.60145,-2.2567,-0.7691,-2.8397,-0.86925,-3.2631,-0.924425,-3.528,-0.974925,-3.8234,-0.99025,-1.96435
7,-0.04005,-0.865,-0.12455,-1.1403,-0.342025,-1.6001,-0.5668,-2.1754,-0.748725,-2.7656,-0.855925,-3.2136,-0.92295,-3.5224,-0.9751,-3.826,-0.991175,-1.967
8,-0.0201,-0.8624,-0.091375,-1.1228,-0.292075,-1.5339,-0.52975,-2.0937,-0.73785,-2.7537,-0.84835,-3.1921,-0.921225,-3.5203,-0.974425,-3.8222,-0.990675,-1.9652
9,-0.0175,-0.8527,-0.070075,-1.1286,-0.25655,-1.4961,-0.5003,-2.0583,-0.720175,-2.7083,-0.84635,-3.1904,-0.91905,-3.5142,-0.974625,-3.8284,-0.990325,-1.96445
10,-0.008775,-0.8524,-0.0563,-1.1121,-0.227425,-1.4888,-0.4808,-2.0364,-0.7052,-2.6592,-0.847075,-3.1874,-0.916325,-3.4972,-0.97465,-3.8262,-0.9895,-1.9613
11,-0.0016,-0.8668,-0.0399,-1.1133,-0.192775,-1.4674,-0.450425,-2.0021,-0.694975,-2.6533,-0.83855,-3.16,-0.9162,-3.4956,-0.974075,-3.8209,-0.99005,-1.9632
12,-0.001025,-0.8495,-0.032825,-1.1198,-0.1735,-1.4589,-0.43535,-1.9705,-0.68395,-2.6295,-0.8383,-3.1596,-0.917,-3.5038,-0.972625,-3.8103,-0.9906,-1.9651
13,-0.000675,-0.8617,-0.025875,-1.1147,-0.1415,-1.4324,-0.4135,-1.9546,-0.6752,-2.6239,-0.8328,-3.1468,-0.91815,-3.5162,-0.97375,-3.818,-0.99,-1.9626
14,-0.002625,-0.8741,-0.01665,-1.1138,-0.123725,-1.4492,-0.393475,-1.9443,-0.6658,-2.5963,-0.832075,-3.1578,-0.91935,-3.5146,-0.974225,-3.8231,-0.99055,-1.96545
