Sweep,Mag,E_N,Beta,Temp
0,-1,2,0.25,4
1,-0.76875,1.27,0.25,4
2,-0.55625,0.9025,0.25,4
3,-0.405,0.6975,0.25,4
4,-0.335,0.69,0.25,4
5,-0.275,0.675,0.25,4
6,-0.18125,0.5725,0.25,4
7,-0.055,0.5525,0.25,4
8,-0.0325,0.535,0.25,4
9,-0.0025,0.545,0.25,4
10,-0.07375,0.555,0.25,4
0,-1,2,0.25,4
1,-0.7725,1.355,0.25,4
2,-0.55875,0.9225,0.25,4
3,-0.40625,0.7325,0.25,4
4,-0.34625,0.735,0.25,4
5,-0.2375,0.605,0.25,4
6,-0.20375,0.64,0.25,4
7,-0.18375,0.6325,0.25,4
8,-0.11375,0.61,0.25,4
9,-0.11875,0.585,0.25,4
10,-0.07,0.5725,0.25,4
0,-1,2,0.25,4
1,-0.78625,1.3675,0.25,4
2,-0.565,0.9,0.25,4
3,-0.4425,0.725,0.25,4
4,-0.35375,0.705,0.25,4
5,-0.25875,0.645,0.25,4
6,-0.15375,0.6025,0.25,4
7,-0.13875,0.6275,0.25,4
8,-0.12625,0.615,0.25,4
9,-0.095,0.58,0.25,4
10,-0.06375,0.5425,0.25,4
0,-1,2,0.25,4
1,-0.75625,1.2675,0.25,4
2,-0.615,1.02,0.25,4
3,-0.4275,0.7525,0.25,4
4,-0.3125,0.6625,0.25,4
5,-0.22,0.6175,0.25,4
6,-0.20625,0.5675,0.25,4
7,-0.15375,0.605,0.25,4
8,-0.06375,0.4925,0.25,4
9,-0.07125,0.6075,0.25,4
10,-0.1125,0.57,0.25,4
0,-1,2,0.25,4
1,-0.79375,1.375,0.25,4
2,-0.63,0.9925,0.25,4
3,-0.49375,0.81,0.25,4
4,-0.39625,0.7275,0.25,4
5,-0.3375,0.6525,0.25,4
6,-0.2575,0.6025,0.25,4
7,-0.19375,0.58,0.25,4
8,-0.1675,0.5475,0.25,4
9,-0.145,0.585,0.25,4
10,-0.0975,0.5125,0.25,4
0,-1,2,0.25,4
1,-0.75375,1.2725,0.25,4
2,-0.59125,0.9525,0.25,4
3,-0.46375,0.7825,0.25,4
4,-0.37,0.685,0.25,4
5,-0.26,0.655,0.25,4
6,-0.20125,0.6575,0.25,4
7,-0.16125,0.61,0.25,4
8,-0.08125,0.53,0.25,4
9,-0.02125,0.5775,0.25,4
10,-0.045,0.6075,0.25,4
0,-1,2,0.25,4
1,-0.7575,1.315,0.25,4
2,-0.56625,0.92,0.25,4
3,-0.4,0.685,0.25,4
4,-0.33,0.6075,0.25,4
5,-0.29875,0.615,0.25,4
6,-0.23375,0.62,0.25,4
7,-0.23375,0.565,0.25,4
8,-0.2225,0.6225,0.25,4
9,-0.11875,0.52,0.25,4
10,-0.1025,0.555,0.25,4
0,-1,2,0.25,4
1,-0.80375,1.3975,0.25,4
2,-0.5625,0.98,0.25,4
3,-0.42,0.7175,0.25,4
4,-0.285,0.5475,0.25,4
5,-0.25,0.56,0.25,4
6,-0.165,0.625,0.25,4
7,-0.12875,0.5525,0.25,4
8,-0.13625,0.56,0.25,4
9,-0.1575,0.5425,0.25,4
10,-0.09,0.5325,0.25,4
0,-1,2,0.25,4
1,-0.8,1.3425,0.25,4
2,-0.62125,0.99,0.25,4
3,-0.48,0.8,0.25,4
4,-0.35125,0.6525,0.25,4
5,-0.26125,0.6025,0.25,4
6,-0.205,0.5775,0.25,4
7,-0.1675,0.575,0.25,4
8,-0.1575,0.5325,0.25,4
9,-0.08625,0.51,0.25,4
10,-0.08875,0.5375,0.25,4
0,-1,2,0.25,4
1,-0.7875,1.3625,0.25,4
2,-0.6225,0.9675,0.25,4
3,-0.4975,0.84,0.25,4
4,-0.395,0.6975,0.25,4
5,-0.305,0.6925,0.25,4
6,-0.22875,0.6175,0.25,4
7,-0.20125,0.5525,0.25,4
8,-0.16875,0.5625,0.25,4
9,-0.17625,0.6225,0.25,4
10,-0.16875,0.6025,0.25,4
0,-1,2,0.25,4
1,-0.7775,1.2975,0.25,4
2,-0.58875,0.9225,0.25,4
3,-0.46625,0.785,0.25,4
4,-0.3225,0.69,0.25,4
5,-0.2525,0.595,0.25,4
6,-0.2075,0.53,0.25,4
7,-0.11375,0.625,0.25,4
8,-0.09125,0.5575,0.25,4
9,-0.10625,0.5725,0.25,4
10,-0.10625,0.55,0.25,4
0,-1,2,0.25,4
1,-0.74375,1.2475,0.25,4
2,-0.5625,0.925,0.25,4
3,-0.415,0.74,0.25,4
