Temp,T_Tc,Mag_sim,Mag_exact,Mag_mf
0.00680756,0.003,1,1,1
0.0113459,0.005,1,1,1
0.0158843,0.007,1,1,1
0.0204227,0.009,1,1,1
0.024961,0.011,1,1,1
0.0294994,0.013,1,1,1
0.0340378,0.015,1,1,1
0.0385762,0.017,1,1,1
0.0431145,0.019,1,1,1
0.0476529,0.021,1,1,1
0.0521913,0.023,1,1,1
0.0567296,0.025,1,1,1
0.061268,0.027,1,1,1
0.0658064,0.029,1,1,1
0.0703447,0.031,1,1,1
0.0748831,0.033,1,1,1
0.0794215,0.035,1,1,1
0.0839599,0.037,1,1,1
0.0884982,0.039,1,1,1
0.0930366,0.041,1,1,1
0.097575,0.043,1,1,1
0.102113,0.045,1,1,1
0.106652,0.047,1,1,1
0.11119,0.049,1,1,1
0.115728,0.051,1,1,1
0.120267,0.053,1,1,1
0.124805,0.055,1,1,1
0.129344,0.057,1,1,1
0.133882,0.059,1,1,1
0.13842,0.061,1,1,1
0.142959,0.063,1,1,1
0.147497,0.065,1,1,1
0.152035,0.067,1,1,1
0.156574,0.069,1,1,1
0.161112,0.071,1,1,1
0.165651,0.073,1,1,1
0.170189,0.075,1,1,1
0.174727,0.077,1,1,1
0.179266,0.079,1,1,1
0.183804,0.081,1,1,1
0.188342,0.083,1,1,1
0.192881,0.085,1,1,1
0.197419,0.087,1,1,1
0.201957,0.089,1,1,1
0.206496,0.091,1,1,1
0.211034,0.093,1,1,1
0.215573,0.095,1,1,1
0.220111,0.097,1,1,1
0.224649,0.099,1,1,1
0.229188,0.101,1,1,1
0.233726,0.103,1,1,1
0.238264,0.105,1,1,1
0.242803,0.107,1,1,1
0.247341,0.109,1,1,1
0.25188,0.111,1,1,1
0.256418,0.113,1,1,1
0.260956,0.115,1,1,1
0.265495,0.117,1,1,1
0.270033,0.119,1,1,1
0.274571,0.121,1,1,1
0.27911,0.123,1,1,1
0.283648,0.125,1,1,1
0.288187,0.127,1,1,1
0.292725,0.129,1,1,1
0.297263,0.131,1,1,1
0.301802,0.133,1,1,0.999999
0.30634,0.135,1,1,0.999999
0.310878,0.137,1,1,0.999999
0.315417,0.139,1,1,0.999999
0.319955,0.141,1,1,0.999999
0.324493,0.143,1,1,0.999998
0.329032,0.145,1,1,0.999998
0.33357,0.147,1,1,0.999998
0.338109,0.149,1,1,0.999997
0.342647,0.151,1,1,0.999996
0.347185,0.153,1,1,0.999996
0.351724,0.155,1,1,0.999995
0.356262,0.157,1,1,0.999994
0.3608,0.159,1,1,0.999993
0.365339,0.161,1,1,0.999992
0.369877,0.163,1,1,0.999991
0.374416,0.165,1,1,0.999989
0.378954,0.167,1,1,0.999987
0.383492,0.169,1,1,0.999985
0.388031,0.171,1,1,0.999983
0.392569,0.173,1,1,0.999981
0.397107,0.175,1,1,0.999978
0.401646,0.177,1,1,0.999975
0.406184,0.179,1,1,0.999972
0.410723,0.181,1,1,0.999968
0.415261,0.183,1,1,0.999964
0.419799,0.185,1,1,0.99996
0.424338,0.187,1,1,0.999955
0.428876,0.189,1,1,0.999949
0.433414,0.191,1,1,0.999943
0.437953,0.193,1,1,0.999937
0.442491,0.195,1,1,0.99993
0.44703,0.197,1,1,0.999922
0.451568,0.199,1,1,0.999914
0.456106,0.201,1,1,0.999904
0.460645,0.203,1,1,0.999895
0.465183,0.205,1,1,0.999884
0.469721,0.207,1,1,0.999873
0.47426,0.209,1,1,0.99986
0.478798,0.211,1,1,0.999847
0.483336,0.213,1,1,0.999833
0.487875,0.215,1,1,0.999817
0.492413,0.217,1,1,0.999801
0.496952,0.219,1,1,0.999783
0.50149,0.221,1,1,0.999765
0.506028,0.223,1,1,0.999745
0.510567,0.225,1,1,0.999724
0.515105,0.227,1,1,0.999701
0.519643,0.229,1,1,0.999677
0.524182,0.231,1,1,0.999652
0.52872,0.233,1,0.999999,0.999625
0.533259,0.235,1,0.999999,0.999596
0.537797,0.237,1,0.999999,0.999566
0.542335,0.239,1,0.999999,0.999534
0.546874,0.241,1,0.999999,0.9995
0.551412,0.243,1,0.999999,0.999465
0.55595,0.245,1,0.999999,0.999428
0.560489,0.247,1,0.999999,0.999388
0.565027,0.249,1,0.999999,0.999347
0.569566,0.251,1,0.999998,0.999304
0.574104,0.253,1,0.999998,0.999258
0.578642,0.255,1,0.999998,0.999211
0.583181,0.257,1,0.999998,0.999161
0.587719,0.259,1,0.999998,0.999108
0.592257,0.261,1,0.999997,0.999054
0.596796,0.263,1,0.999997,0.998997
0.601334,0.265,1,0.999997,0.998937
0.605872,0.267,1,0.999996,0.998875
0.610411,0.269,1,0.999996,0.99881
0.614949,0.271,1,0.999995,0.998742
0.619488,0.273,1,0.999995,0.998672
0.624026,0.275,1,0.999995,0.998598
0.628564,0.277,1,0.999994,0.998522
0.633103,0.279,1,0.999993,0.998443
0.637641,0.281,1,0.999993,0.998361
0.642179,0.283,1,0.999992,0.998275
0.646718,0.285,1,0.999991,0.998187
0.651256,0.287,1,0.999991,0.998095
0.655795,0.289,0.999975,0.99999,0.998
0.660333,0.291,1,0.999989,0.997901
0.664871,0.293,1,0.999988,0.997799
0.66941,0.295,1,0.999987,0.997694
0.673948,0.297,0.999951,0.999986,0.997584
0.678486,0.299,0.999951,0.999985,0.997472
0.683025,0.301,1,0.999983,0.997355
0.687563,0.303,1,0.999982,0.997235
0.692102,0.305,1,0.999981,0.997111
0.69664,0.307,0.999951,0.999979,0.996983
0.701178,0.309,1,0.999978,0.996851
0.705717,0.311,0.999877,0.999976,0.996715
0.710255,0.313,0.999975,0.999974,0.996574
0.714793,0.315,1,0.999972,0.99643
0.719332,0.317,1,0.99997,0.996281
0.72387,0.319,1,0.999968,0.996128
0.728408,0.321,1,0.999965,0.995971
0.732947,0.323,0.999902,0.999963,0.99581
0.737485,0.325,0.999975,0.99996,0.995643
0.742024,0.327,0.999902,0.999958,0.995473
0.746562,0.329,0.999975,0.999955,0.995297
0.7511,0.331,0.999902,0.999952,0.995117
0.755639,0.333,0.999975,0.999948,0.994933
0.760177,0.335,0.999828,0.999945,0.994743
0.764715,0.337,0.999926,0.999942,0.994549
0.769254,0.339,1,0.999938,0.99435
0.773792,0.341,0.999902,0.999934,0.994146
0.778331,0.343,0.999951,0.99993,0.993936
0.782869,0.345,0.999975,0.999925,0.993722
0.787407,0.347,0.999951,0.999921,0.993503
0.791946,0.349,0.999975,0.999916,0.993278
0.796484,0.351,0.999877,0.999911,0.993048
0.801022,0.353,0.999853,0.999905,0.992813
0.805561,0.355,0.999975,0.9999,0.992572
0.810099,0.357,0.999828,0.999894,0.992326
0.814638,0.359,0.999951,0.999888,0.992075
0.819176,0.361,0.999902,0.999882,0.991818
0.823714,0.363,0.999804,0.999875,0.991555
0.828253,0.365,0.999877,0.999868,0.991287
0.832791,0.367,0.999975,0.999861,0.991013
0.837329,0.369,0.999951,0.999853,0.990733
0.841868,0.371,0.999951,0.999845,0.990448
0.846406,0.373,0.999853,0.999837,0.990156
0.850944,0.375,0.999902,0.999829,0.989859
0.855483,0.377,0.999706,0.99982,0.989556
0.860021,0.379,0.999951,0.99981,0.989247
0.86456,0.381,0.999853,0.999801,0.988931
0.869098,0.383,0.999853,0.99979,0.98861
0.873636,0.385,0.999779,0.99978,0.988282
