Temp,T/Tc,c,chi,rel c,rel chi
0.00226919,0.001,0,0,0,0
0.0476529,0.021,0,0,0,0
0.0930366,0.041,0,0,0,0
0.13842,0.061,0,0,0,0
0.183804,0.081,0,0,0,0
0.229188,0.101,0,0,0,0
0.274571,0.121,0,0,0,0
0.319955,0.141,0,0,0,0
0.365339,0.161,0,0,0,0
0.410723,0.181,0,0,0,0
0.456106,0.201,0,0,0,0
0.50149,0.221,0,0,0,0
0.546874,0.241,0,0,0,0
0.592257,0.261,0,0,0,0
0.637641,0.281,0,0,0,0
0.683025,0.301,0,0,0,0
0.728408,0.321,0.0127533,0.0005806,0.00600967,0.000219869
0.773792,0.341,0,0,0,0
0.819176,0.361,0.0117337,0.000600748,0.005529209,0.000227499
0.86456,0.381,0.00555512,0.000300171,0.00261771,0.000113673
0.909943,0.401,0.00828373,0.000471108,0.003903498,0.000178405
0.955327,0.421,0.0207599,0.00123953,0.009782577,0.000469402
1.00071,0.441,0.0126541,0.000791441,0.005962924,0.000299713
1.04609,0.461,0.0359694,0.00249183,0.016949668,0.000943639
1.09148,0.481,0.0206026,0.00140546,0.009708453,0.000532238
1.13686,0.501,0.0383202,0.00355769,0.018057423,0.001347273
1.18225,0.521,0.0437197,0.00350404,0.020601801,0.001326956
1.22763,0.541,0.0680681,0.00585488,0.032075368,0.002217203
1.27301,0.561,0.113696,0.0101265,0.05357636,0.003834837
1.3184,0.581,0.0604825,0.00590234,0.028500846,0.002235176
1.36378,0.601,0.144605,0.0150852,0.068141443,0.005712663
1.40916,0.621,0.134453,0.0155856,0.06335757,0.005902161
1.45455,0.641,0.186514,0.0215739,0.087889997,0.008169889
1.49993,0.661,0.115792,0.0170609,0.054564047,0.006460847
1.54532,0.681,0.160716,0.0216788,0.075733343,0.008209614
1.5907,0.701,0.145784,0.0182953,0.068697017,0.006928306
1.63608,0.721,0.190076,0.028534,0.0895685,0.010805632
1.68147,0.741,0.283502,0.0494033,0.133593135,0.018708694
1.72685,0.761,0.36342,0.0746048,0.171252468,0.028252331
1.77223,0.781,0.243246,0.0387042,0.114623515,0.014657018
1.81762,0.801,0.301934,0.0831634,0.142278748,0.031493415
1.863,0.821,0.681541,0.279282,0.32115893,0.105762196
1.90838,0.841,0.702964,0.20337,0.331253976,0.077014837
1.95377,0.861,0.778344,0.187773,0.366774891,0.071108359
1.99915,0.881,0.719401,0.433508,0.338999496,0.164166534
2.04454,0.901,0.616491,0.209596,0.290505765,0.079372581
2.08992,0.921,0.581355,0.216297,0.273948816,0.081910204
2.1353,0.941,0.635774,0.267944,0.299592391,0.101468572
2.18069,0.961,0.509444,0.449366,0.240062579,0.170171851
2.22607,0.981,2.12213,2.64066,1,1
2.27145,1.001,0.919566,0.686994,0.433322181,0.26015996
