,Sweep,Mag,E_N,Beta,Temp,Mag_mean,Mag_max,Mag_min,E_mean,E_max,E_min
0,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
1,1,-0.76875,1.27,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
2,2,-0.55625,0.9025,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
3,3,-0.405,0.6975,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
4,4,-0.335,0.69,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
5,5,-0.275,0.675,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
6,6,-0.18125,0.5725,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
7,7,-0.055,0.5525,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
8,8,-0.0325,0.535,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
9,9,-0.0025,0.545,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
10,10,-0.07375,0.555,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
11,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
12,1,-0.7725,1.355,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
13,2,-0.55875,0.9225,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
14,3,-0.40625,0.7325,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
15,4,-0.34625,0.735,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
16,5,-0.2375,0.605,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
17,6,-0.20375,0.64,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
18,7,-0.18375,0.6325,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
19,8,-0.11375,0.61,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
20,9,-0.11875,0.585,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
21,10,-0.07,0.5725,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
22,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
23,1,-0.78625,1.3675,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
24,2,-0.565,0.9,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
25,3,-0.4425,0.725,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
26,4,-0.35375,0.705,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
27,5,-0.25875,0.645,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
28,6,-0.15375,0.6025,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
29,7,-0.13875,0.6275,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
30,8,-0.12625,0.615,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
31,9,-0.095,0.58,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
32,10,-0.06375,0.5425,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
33,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
34,1,-0.75625,1.2675,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
35,2,-0.615,1.02,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
36,3,-0.4275,0.7525,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
37,4,-0.3125,0.6625,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
38,5,-0.22,0.6175,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
39,6,-0.20625,0.5675,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
40,7,-0.15375,0.605,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
41,8,-0.06375,0.4925,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
42,9,-0.07125,0.6075,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
43,10,-0.1125,0.57,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
44,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
45,1,-0.79375,1.375,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
46,2,-0.63,0.9925,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
47,3,-0.49375,0.81,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
48,4,-0.39625,0.7275,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
49,5,-0.3375,0.6525,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
50,6,-0.2575,0.6025,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
51,7,-0.19375,0.58,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
52,8,-0.1675,0.5475,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
53,9,-0.145,0.585,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
54,10,-0.0975,0.5125,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
55,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
56,1,-0.75375,1.2725,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
57,2,-0.59125,0.9525,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
58,3,-0.46375,0.7825,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
59,4,-0.37,0.685,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
60,5,-0.26,0.655,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
61,6,-0.20125,0.6575,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
62,7,-0.16125,0.61,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
63,8,-0.08125,0.53,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
64,9,-0.02125,0.5775,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
65,10,-0.045,0.6075,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
66,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
67,1,-0.7575,1.315,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
68,2,-0.56625,0.92,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
69,3,-0.4,0.685,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
70,4,-0.33,0.6075,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
71,5,-0.29875,0.615,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
72,6,-0.23375,0.62,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
73,7,-0.23375,0.565,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
74,8,-0.2225,0.6225,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
75,9,-0.11875,0.52,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
