Temp,Mag_mean,Mag_sd,abs_Mag_mean,abs_Mag_sd,Mag_exact,E_N_mean,E_N_sd
1,-0.999632,9.45456e-05,0.999632,9.45456e-05,0.999276,1.99858,0.000358749
1.15,-0.997892,0.0002335,0.997892,0.0002335,0.997824,1.99186,0.000862745
1.3,-0.995907,0.000377164,0.995907,0.000377164,0.994772,1.98426,0.00142852
1.45,-0.98973,0.000591311,0.98973,0.000591311,0.989158,1.96137,0.00210195
1.6,-0.978603,0.00113417,0.978603,0.00113417,0.979622,1.92662,0.00293961
1.75,-0.964167,0.00126058,0.964167,0.00126058,0.96401,1.87804,0.0039873
1.9,-0.934853,0.00205012,0.934853,0.00205012,0.938304,1.79809,0.00505246
2.05,-0.89701,0.00287315,0.89701,0.00287315,0.892768,1.71157,0.00590611
2.2,-0.824755,0.00377232,0.824755,0.00377232,0.784755,1.56637,0.00571432
2.35,-0.666936,0.00543932,0.666936,0.00543932,0,1.3526,0.00822119
2.5,0.0635294,0.00852165,0.0733824,0.00675565,0,1.08721,0.0069528
2.65,0.00642157,0.00800138,0.042451,0.00536704,0,1.00804,0.00640669
2.8,0.108407,0.00747964,0.109289,0.00721826,0,0.885245,0.00689105
2.95,-0.00583333,0.0157909,0.0980392,0.00760267,0,0.829559,0.00513003
3.1,-0.0345588,0.00848057,0.0509804,0.00662015,0,0.777549,0.00651713
3.25,0.0117647,0.00960361,0.0557353,0.00573316,0,0.723431,0.00753487
3.4,-0.0126961,0.00814967,0.0481373,0.0048267,0,0.691667,0.00653597
3.55,0.0148284,0.00702063,0.0415441,0.0043782,0,0.658725,0.00530139
3.7,-0.0114951,0.00716328,0.0424265,0.00423735,0,0.608971,0.00714115
3.85,0.0454902,0.0083022,0.0595098,0.00628374,0,0.586618,0.00585186
4,0.0241667,0.00699314,0.0427451,0.00490323,0,0.556225,0.00389593
