Temp,T_Tc,c,chi,relative_c,relative_chi,mf_T/T_C,mf_c,mf_chi
0.00226919,0.001,0,0,0,0,3.00E-03,0,0
0.024961,0.011,0,0,0,0,5.00E-03,0,0
0.0476529,0.021,0,0,0,0,7.00E-03,0,0
0.0703447,0.031,0,0,0,0,9.00E-03,0,0
0.0930366,0.041,0,0,0,0,1.10E-02,0,0
0.115728,0.051,0,0,0,0,1.30E-02,0,0
0.13842,0.061,0,0,0,0,1.50E-02,0,0
0.161112,0.071,0,0,0,0,1.70E-02,0,0
0.183804,0.081,0,0,0,0,1.90E-02,0,0
0.206496,0.091,0,0,0,0,2.10E-02,0,0
0.229188,0.101,0,0,0,0,2.30E-02,0,0
0.25188,0.111,0,0,0,0,2.50E-02,0,0
0.274571,0.121,0,0,0,0,2.70E-02,0,0
0.297263,0.131,0,0,0,0,2.90E-02,0,0
0.319955,0.141,0,0,0,0,3.10E-02,0,0
0.342647,0.151,0,0,0,0,3.30E-02,0,0
0.365339,0.161,0,0,0,0,3.50E-02,0,0
0.388031,0.171,0,0,0,0,3.70E-02,0,0
0.410723,0.181,0,0,0,0,3.90E-02,0,0
0.433414,0.191,0,0,0,0,4.10E-02,0,0
0.456106,0.201,0,0,0,0,4.30E-02,0,0
0.478798,0.211,0,0,0,0,4.50E-02,0,0
0.50149,0.221,0,0,0,0,4.70E-02,0,0
0.524182,0.231,0,0,0,0,4.90E-02,0,0
0.546874,0.241,0,0,0,0,5.10E-02,0,0
0.569566,0.251,0,0,0,0,5.30E-02,0,0
0.592257,0.261,0,0,0,0,5.50E-02,0,0
0.614949,0.271,0,0,0,0,5.70E-02,0,0
0.637641,0.281,0,0,0,0,5.90E-02,0,0
0.660333,0.291,0,0,0,0,6.10E-02,0,0
0.683025,0.301,0,0,0,0,6.30E-02,0,0
0.705717,0.311,0.00444653,0.000196124,0.004423528,0.000272568,6.50E-02,0,0
0.728408,0.321,0,0,0,0,6.70E-02,0,0
0.7511,0.331,0.00790536,0.000371107,0.007864465,0.000515754,6.90E-02,0,0
0.773792,0.341,0.00128422,6.21E-05,0.001277577,8.63E-05,7.10E-02,0,0
0.796484,0.351,0,0,0,0,7.30E-02,0,0
0.819176,0.361,0.00788358,0.000403628,0.007842797,0.000560951,7.50E-02,0,0
0.841868,0.371,0.00668317,0.000351647,0.006648597,0.000488709,7.70E-02,0,0
0.86456,0.381,0.00386801,0.000209008,0.003848,0.000290474,7.90E-02,0,0
0.887251,0.391,0.0116139,0.000727985,0.01155382,0.001011734,8.10E-02,0,0
0.909943,0.401,0.0114041,0.000648565,0.011345105,0.000901358,8.30E-02,1.62E-09,1.45E-11
0.932635,0.411,0.0315421,0.00203645,0.03137893,0.002830203,8.50E-02,1.58E-09,1.42E-11
0.955327,0.421,0.0140534,0.0008391,0.0139807,0.001166158,8.70E-02,3.09E-09,2.77E-11
0.978019,0.431,0.0119216,0.00079801,0.011859928,0.001109053,8.90E-02,4.54E-09,4.07E-11
1.00071,0.441,0.0199102,0.00130434,0.019807203,0.001812736,9.10E-02,8.87E-09,7.96E-11
1.0234,0.451,0.0528896,0.00387885,0.052615997,0.00539072,9.30E-02,1.30E-08,1.17E-10
1.04609,0.461,0.0228155,0.00153442,0.022697473,0.002132495,9.50E-02,1.98E-08,1.78E-10
1.06879,0.471,0.0314695,0.00217453,0.031306705,0.003022103,9.70E-02,3.05E-08,2.74E-10
1.09148,0.481,0.0225454,0.00161856,0.02242877,0.002249431,9.90E-02,4.60E-08,4.14E-10
1.11417,0.491,0.0383236,0.00400282,0.038125348,0.005563011,1.01E-01,6.65E-08,5.97E-10
1.13686,0.501,0.0494099,0.00362871,0.049154298,0.005043083,1.03E-01,9.64E-08,8.69E-10
1.15955,0.511,0.0312306,0.00236406,0.031069041,0.003285507,1.05E-01,1.37E-07,1.23E-09
1.18225,0.521,0.0711498,0.00599996,0.070781735,0.008338582,1.07E-01,1.92E-07,1.73E-09
1.20494,0.531,0.0583901,0.00496962,0.058088042,0.006906643,1.09E-01,2.65E-07,2.38E-09
1.22763,0.541,0.0440215,0.00404001,0.043793772,0.005614697,1.11E-01,3.63E-07,3.25E-09
1.25032,0.551,0.0790969,0.0067449,0.078687724,0.009373879,1.13E-01,4.90E-07,4.40E-09
1.27301,0.561,0.0754908,0.00672887,0.075100279,0.009351602,1.15E-01,6.55E-07,5.88E-09
1.2957,0.571,0.0706027,0.00673565,0.070237465,0.009361023,1.17E-01,8.67E-07,7.78E-09
1.3184,0.581,0.0975497,0.0102985,0.097045066,0.014312577,1.19E-01,1.14E-06,1.02E-08
1.34109,0.591,0.139151,0.0128119,0.138431158,0.017805632,1.21E-01,1.47E-06,1.32E-08
1.36378,0.601,0.0999423,0.0108565,0.099425288,0.015088069,1.23E-01,1.89E-06,1.70E-08
