T/T_C,m,e,c,chi,rel c,rel chi
3.00E-03,1,-2,0,0,0,0
5.00E-03,1,-2,0,0,0,0
7.00E-03,1,-2,0,0,0,0
9.00E-03,1,-2,0,0,0,0
1.10E-02,1,-2,0,0,0,0
1.30E-02,1,-2,0,0,0,0
1.50E-02,1,-2,0,0,0,0
1.70E-02,1,-2,0,0,0,0
1.90E-02,1,-2,0,0,0,0
2.10E-02,1,-2,0,0,0,0
2.30E-02,1,-2,0,0,0,0
2.50E-02,1,-2,0,0,0,0
2.70E-02,1,-2,0,0,0,0
2.90E-02,1,-2,0,0,0,0
3.10E-02,1,-2,0,0,0,0
3.30E-02,1,-2,0,0,0,0
3.50E-02,1,-2,0,0,0,0
3.70E-02,1,-2,0,0,0,0
3.90E-02,1,-2,0,0,0,0
4.10E-02,1,-2,0,0,0,0
4.30E-02,1,-2,0,0,0,0
4.50E-02,1,-2,0,0,0,0
4.70E-02,1,-2,0,0,0,0
4.90E-02,1,-2,0,0,0,0
5.10E-02,1,-2,0,0,0,0
5.30E-02,1,-2,0,0,0,0
5.50E-02,1,-2,0,0,0,0
5.70E-02,1,-2,0,0,0,0
5.90E-02,1,-2,0,0,0,0
6.10E-02,1,-2,0,0,0,0
6.30E-02,1,-2,0,0,0,0
6.50E-02,1,-2,0,0,0,0
6.70E-02,1,-2,0,0,0,0
6.90E-02,1,-2,0,0,0,0
7.10E-02,1,-2,0,0,0,0
7.30E-02,1,-2,0,0,0,0
7.50E-02,1,-2,0,0,0,0
7.70E-02,1,-2,0,0,0,0
7.90E-02,1,-2,0,0,0,0
8.10E-02,1,-2,0,0,0,0
8.30E-02,1,-2,4.82E-09,2.41E-09,1.61927E-09,2.41E-12
8.50E-02,1,-2,4.71E-09,2.35E-09,1.58232E-09,2.35E-12
8.70E-02,1,-2,9.20E-09,4.60E-09,3.09072E-09,4.6E-12
8.90E-02,1,-2,1.35E-08,6.74E-09,4.5353E-09,6.74E-12
9.10E-02,1,-2,2.64E-08,1.32E-08,8.86903E-09,1.32E-11
9.30E-02,1,-2,3.87E-08,1.94E-08,1.30012E-08,1.94E-11
9.50E-02,1,-2,5.89E-08,2.95E-08,1.97873E-08,2.95E-11
